rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,rgi_year,glacier_type,terminus_type,is_tidewater,status,inv_volume_km3,vas_volume_km3,inv_volume_bsl_km3,inv_volume_bwl_km3,dem_source,flowline_type,ref_hgt_qc_diff,inversion_glen_a,inversion_fs,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,terminus_lon,terminus_lat,main_flowline_length,inv_flowline_glacier_area,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_slope,flowline_avg_width,flowline_last_width,flowline_last_5_widths,t_star,mu_star_glacierwide,mu_star_flowline_avg,mu_star_allsame,mb_bias
RGI60-03.00001,03,03-03,,-68.0302,81.0237,5.123,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.4642128350945202,0.32142148731380776,0.0,0.0,COPDEM,elevation_band,380.0,1.3825596406057252e-24,0.0,,,854.90087890625,911.740234375,312.4107971191406,1201.8424072265625,1201.8424072265625,312.4107971191406,0.0,-67.94396643317745,80.99926670849581,5712.0,5123000.0,858.31045177164,1171.117091141334,332.03177833443715,0.14621464986816074,896.8837535014006,70.837906385437,356.093996460188,1995.0,29.709184285994294,29.709184285994308,True,219.40353851073354
RGI60-03.00002,03,03-03,,-68.8844,81.1403,0.569,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.015401878338306335,0.015658793010936756,0.0,0.0,COPDEM,elevation_band,700.0,1.3825596406057252e-24,0.0,,,995.4412841796875,1005.353515625,737.57763671875,1232.0089111328125,1232.0089111328125,737.57763671875,0.0,-68.86727665917572,81.14883161776376,1344.0,569000.0000000001,996.4068027738319,1202.782750298081,753.1444510342866,0.3293753784687361,423.36309523809535,15.868583562901838,82.70993796618313,1995.0,11.223704403903076,11.223704403903078,True,219.33257348172233
RGI60-03.00003,03,03-03,,-69.1043,80.9223,3.736,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.2918224564082517,0.2082276318346305,0.0,0.0,COPDEM,elevation_band,510.0,1.3825596406057252e-24,0.0,,,862.4533081054688,885.1617431640625,539.7852172851562,1018.287841796875,1016.991455078125,539.7852172851562,0.005484460694698354,-69.07909239770271,80.94563518062338,4218.0,3736000.0000000005,861.8098531051963,1001.7475443921239,561.5097714544801,0.10640597229733506,885.7278330962542,152.5963817296986,262.8554528559716,1995.0,12.398486240611852,12.398486240611852,True,219.18546178179744
RGI60-03.00004,03,03-03,,-69.2006,80.8772,2.259,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.10256106536160949,0.1042590430872682,0.0,0.0,COPDEM,elevation_band,870.0,1.3825596406057252e-24,0.0,,,1145.7889404296875,1134.8095703125,950.5869140625,1394.3665771484375,1394.3665771484375,950.5869140625,0.0,-69.26265665113026,80.8858056375959,2542.0,2259000.0,1149.3907122087019,1378.1838981059257,958.1296773695315,0.16442327471568008,888.6703383162862,37.86851799264636,196.2753323093422,1995.0,9.319146603890784,9.319146603890783,True,219.14863673112615
RGI60-03.00005,03,03-03,,-69.2585,80.8687,4.057,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.30415280854143123,0.23321732121137717,0.0,0.0,COPDEM,elevation_band,870.0,1.3825596406057252e-24,0.0,,,1102.1416015625,1106.2923583984375,759.2433471679688,1375.677001953125,1375.677001953125,759.2433471679688,0.0,-69.29738557883394,80.89277685721855,4256.0,4057000.000000001,1102.3201709677562,1352.2350633005753,774.0230461741836,0.1375399108257284,953.2424812030077,107.66628728799085,250.12955640649358,1995.0,18.605696385666885,18.60569638566689,True,219.13466321319666
RGI60-03.00006,03,03-03,,-69.1875,80.8591,0.419,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.012865884026542807,0.010280712129327923,0.0,0.0,COPDEM,elevation_band,930.0,1.3825596406057252e-24,0.0,,,976.0223999023438,985.365234375,809.3096923828125,1110.54248046875,1110.54248046875,809.3096923828125,0.0,-69.13796423959067,80.85469501104089,1330.0,419000.00000000006,980.6146384067039,1108.5686574507242,832.4046188212437,0.2088602846661023,315.03759398496237,72.79349502401102,101.11553242072374,1995.0,11.345019727134874,11.345019727134872,True,219.1432536163169
RGI60-03.00007,03,03-03,,-69.3243,80.864,3.763,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.19777840253553955,0.21029960997231306,0.0,0.0,COPDEM,elevation_band,1200.0,1.3825596406057252e-24,0.0,,,1239.1087646484375,1238.55029296875,1052.791259765625,1415.9779052734375,1415.9779052734375,1052.791259765625,0.0,-69.28608987553176,80.84837480205618,2220.0,3763000.0,1239.3037823422467,1381.3839367345877,1096.7414419445324,0.13220755143105276,1695.0450450450453,223.87830797244976,428.10477170471313,1995.0,11.021260099598345,11.021260099598345,True,219.12081531894407
RGI60-03.00008,03,03-03,,-69.3642,80.883,1.268,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.04103759047596864,0.04712679341693535,0.0,0.0,COPDEM,elevation_band,780.0,1.3825596406057252e-24,0.0,,,1080.42138671875,1069.24072265625,857.6412353515625,1324.727783203125,1324.727783203125,857.6412353515625,0.0,-69.32700920334835,80.88801757249368,1560.0,1268000.0000000002,1081.8608113052128,1294.7245021963072,866.6415358953884,0.2721884564112271,812.820512820513,31.19746505682153,189.82169930537782,1995.0,9.760738200316593,9.76073820031659,True,219.1218931349728
RGI60-03.00009,03,03-03,,-69.4072,80.875,0.713,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.021606700281843857,0.02135389095243165,0.0,0.0,COPDEM,elevation_band,760.0,1.3825596406057252e-24,0.0,,,1088.711669921875,1083.19189453125,872.2238159179688,1274.3797607421875,1274.3797607421875,872.2238159179688,0.0,-69.44014108483024,80.87733570351247,1408.0,713000.0,1094.600148470441,1262.1120597467518,892.3354972409286,0.2615531438430744,506.39204545454544,63.90182487707669,200.0322023033212,1995.0,9.331393578200634,9.331393578200633,True,219.11057229362027
RGI60-03.00010,03,03-03,,-69.4148,80.8888,0.476,1999,Glacier,Land-terminating,False,Glacier or ice cap,0.01189040683444181,0.012251477789396606,0.0,0.0,COPDEM,elevation_band,770.0,1.3825596406057252e-24,0.0,,,1085.996337890625,1086.83447265625,860.9719848632812,1266.035400390625,1266.035400390625,860.9719848632812,0.0,-69.41646581310428,80.89396994223624,1080.0,476000.0,1085.8666970884121,1239.3477226594916,895.9783588734009,0.3183147584178721,440.74074074074076,90.49843674900129,185.34210499364627,1995.0,8.978673758365018,8.97867375836502,True,219.11531948158552
