rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,rgi_year,glacier_type,terminus_type,is_tidewater,status,dem_source,error_task,error_msg,t_star,mu_star_glacierwide,mu_star_flowline_avg,mu_star_allsame,mb_bias,inv_volume_km3,vas_volume_km3,inv_volume_bsl_km3,inv_volume_bwl_km3,flowline_type,inversion_glen_a,inversion_fs,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,terminus_lon,terminus_lat,main_flowline_length,inv_flowline_glacier_area,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_slope,flowline_avg_width,flowline_last_width,flowline_last_5_widths,ref_hgt_qc_diff
RGI60-08.00001,08,08-01,Su4C01001001 1,33.83,67.93,0.03,2002,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-08.00001 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-08.00002,08,08-01,Su4C01001002 2,33.5,67.87,0.03,2002,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-08.00002 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-08.00003,08,08-01,Su4C01001003,33.75,67.82,0.02,2002,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-08.00003 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-08.00004,08,08-01,Su4C01001004 4,33.77,67.83,0.02,2002,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-08.00004 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-08.00005,08,08-01,Salajekna,16.345,67.139,21.469,1999,Glacier,Land-terminating,False,Glacier or ice cap,COPDEM,,,1997.0,72.8018354910572,72.80183549105722,True,444.19774603835776,3.7296125487463345,2.305261323887523,0.0,0.0,elevation_band,1.5655406023923262e-24,0.0,1220.569091796875,1238.079345703125,860.5311889648438,1728.822998046875,1728.822998046875,860.5311889648438,0.0,16.434611177891707,67.09817317334523,9000.0,21469000.000000004,1224.5978533890932,1709.342264915007,870.4418878961299,0.09432742075539945,2385.4444444444443,230.0263703946806,780.9263506226113,
RGI60-08.00006,08,08-01,Riukojietna,18.055,68.083,4.886,2001,Glacier,Land-terminating,False,Glacier or ice cap,COPDEM,,,1997.0,77.27051184563037,77.27051184563041,True,505.6091187477132,0.4915861002627701,0.3011548960688344,0.0,0.0,elevation_band,1.5655406023923262e-24,0.0,1347.256591796875,1357.4501953125,1097.690673828125,1446.8956298828125,1446.8956298828125,1097.690673828125,0.0,18.077419115349965,68.08551778478945,3034.0,4886000.0,1346.46146923892,1442.2786384703825,1121.8278236946314,0.10812116592759112,1610.4152933421224,116.5340967479166,483.8762208336111,
RGI60-08.00007,08,08-01,,18.153,68.104,0.137,2002,Glacier,Land-terminating,False,Glacier or ice cap,COPDEM,,,1998.0,46.24952361838572,46.24952361838571,True,438.4023541529279,0.011471977063265231,0.00221039401955499,0.0,0.0,elevation_band,1.5655406023923262e-24,0.0,1157.5684814453125,1154.8651123046875,1136.4359130859375,1216.943359375,1216.943359375,1136.556640625,0.0,18.15394646873956,68.10109028206699,1020.0,137000.0,1155.7618710024904,1207.5040599766794,1138.5354677858086,0.07086903008828012,134.31372549019605,13.086706231648746,33.20434994224111,
RGI60-08.00008,08,08-01,Gallanvarri,18.166,68.145,0.531,2002,Glacier,Land-terminating,False,Glacier or ice cap,COPDEM,,,1999.0,57.204029407342055,57.204029407342055,True,328.50816579218093,0.01730811496605343,0.014239144048497531,0.0,0.0,elevation_band,1.5655406023923262e-24,0.0,1249.7540283203125,1237.0047607421875,1144.8450927734375,1407.385498046875,1407.385498046875,1144.8450927734375,0.0,18.180266524933657,68.14148835202157,720.0,531000.0000000001,1253.1287062226127,1381.397318459165,1165.649807316435,0.3013364717615945,737.5000000000001,266.2251954664815,485.10228177849615,
RGI60-08.00009,08,08-01,Gunganiehkki,18.206,68.118,0.734,2002,Glacier,Land-terminating,False,Glacier or ice cap,COPDEM,,,1998.0,66.08814128908493,66.08814128908492,True,376.67882626889747,0.029594286920185422,0.02222342539143385,0.0,0.0,elevation_band,1.5655406023923262e-24,0.0,1376.8189697265625,1386.45751953125,1221.1702880859375,1476.0172119140625,1476.0172119140625,1221.1702880859375,0.0,18.21260111897597,68.11566646620234,968.0,734000.0000000001,1375.53925890258,1467.0081295271336,1233.944793887173,0.24452704413546045,758.2644628099176,49.662512892918365,294.8074178221657,
RGI60-08.00010,08,08-01,,18.085,68.122,0.303,2002,Glacier,Land-terminating,False,Glacier or ice cap,COPDEM,,,1998.0,72.06847483315804,72.06847483315802,True,427.9962493189013,0.010274070822184128,0.006583586275863666,0.0,0.0,elevation_band,1.5655406023923262e-24,0.0,1323.84423828125,1327.7677001953125,1236.2652587890625,1436.8812255859375,1436.8812255859375,1236.5504150390625,0.0,18.084413289144027,68.12498496548041,648.0,303000.0,1328.3231772655824,1413.7656233901384,1249.8579195379798,0.25743863395443944,467.59259259259255,248.38561452738708,360.3950508876275,
