rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,rgi_year,glacier_type,terminus_type,is_tidewater,status,inv_volume_km3,vas_volume_km3,inv_volume_bsl_km3,inv_volume_bwl_km3,dem_source,flowline_type,ref_hgt_qc_diff,inversion_glen_a,inversion_fs,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,terminus_lon,terminus_lat,main_flowline_length,inv_flowline_glacier_area,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_slope,flowline_avg_width,flowline_last_width,flowline_last_5_widths,t_star,mu_star_glacierwide,mu_star_flowline_avg,mu_star_allsame,mb_bias
RGI60-09.00001,09,09-02,(Severny Island),56.8706,73.9686,3.818,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.3481258228408944,0.2145375479804149,0.0,0.0,COPDEM,elevation_band,230.0,2.804597255283034e-24,0,,,716.08837890625,770.0682373046875,370.5211486816406,953.3015747070312,953.3015747070312,370.5211486816406,0.0,56.933007392876405,73.9574021657688,3552.0,3818000.0,721.123182836984,936.5356660247734,387.20972851958,0.15678840258914475,1074.8873873873874,494.419466268123,917.4888350794093,1995,232.9632306906345,232.96323069063448,True,406.85391129663356
RGI60-09.00002,09,09-02,(Severny Island),58.3974,75.4779,3.605,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.36438452201308025,0.19825477765744676,0.0,0.0,COPDEM,elevation_band,60.0,2.804597255283034e-24,0,,,448.9864501953125,462.1639099121094,156.7813720703125,713.3176879882812,713.3176879882812,157.63827514648438,0.0,58.43072213836709,75.49494320142432,4366.0,3604999.9999999995,454.7176911678426,700.0206559626099,176.8421483482508,0.12265765170186713,825.698579935868,283.2605590536098,403.94228773216304,1995,217.5663936585868,217.56639365858678,True,383.11094553000805
RGI60-09.00003,09,09-02,(Severny Island),58.3146,75.487,1.714,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.12833121010651105,0.07132533025391866,0.0,0.0,COPDEM,elevation_band,60.0,2.804597255283034e-24,0,,,580.7230834960938,631.845947265625,169.9537811279297,900.6537475585938,900.6537475585938,169.9537811279297,0.0,58.335750921446014,75.50604557043688,3360.0,1714000.0,584.5828445384838,872.0301927671075,178.0714221702234,0.20444259203650036,510.1190476190476,45.56321047922745,138.21787888947446,1995,394.1660095249486,394.16600952494855,True,383.1321152232751
RGI60-09.00004,09,09-02,(Yuzhny Island),55.0259,73.1107,0.581,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.03159541394336979,0.01611465822735273,0.0,0.0,COPDEM,elevation_band,600.0,2.804597255283034e-24,0,,,837.0580444335938,836.6171875,743.4232177734375,922.987060546875,922.987060546875,743.4232177734375,0.0,55.01831222563345,73.10435502755496,1428.0,581000.0,834.3397611483241,907.0975967534786,750.3634013993418,0.11217652100738652,406.8627450980393,55.02441784238473,188.3567303862004,1995,78.91762706112347,78.91762706112344,True,484.750586001462
RGI60-09.00005,09,09-02,(Severny Island),58.2102,75.5001,2.535,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.15550603084850562,0.12216551132875583,0.0,0.0,COPDEM,elevation_band,240.0,2.804597255283034e-24,0,,,544.1663208007812,548.7399291992188,333.4063415527344,747.2428588867188,747.2428588867188,333.4063415527344,0.0,58.21162420517778,75.51308422584667,2048.0,2535000.0,544.4333248678901,726.1129536873572,359.08733839267154,0.1812028388252024,1237.79296875,343.8667714595069,735.4739010919557,1995,172.0941296809933,172.0941296809933,True,383.1592984374593
RGI60-09.00006,09,09-02,(Severny Island),58.7392,75.5221,1.841,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.16139884088660417,0.07869150949833285,0.0,0.0,COPDEM,elevation_band,210.0,2.804597255283034e-24,0,,,453.6434020996094,410.9971008300781,329.82342529296875,700.0613403320312,700.0613403320312,329.82342529296875,0.0,58.69202887541655,75.52878482242001,2958.0,1840999.9999999995,456.7021788744077,683.8194438339157,331.5528953228775,0.12048408643044434,622.3799864773495,55.715252154212344,212.24421033252875,1995,123.6299483508226,123.6299483508226,True,383.04198822241204
RGI60-09.00007,09,09-02,(Severny Island),58.5582,75.6629,1.165,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.06965502000499608,0.041944697282651204,0.0,0.0,COPDEM,elevation_band,70.0,2.804597255283034e-24,0,,,444.413330078125,454.4629821777344,240.71726989746094,628.3646240234375,628.3646240234375,240.71726989746094,0.0,58.53087651533388,75.67236181211165,1800.0,1165000.0000000002,449.07480532528626,602.3053731935386,261.7982377016629,0.1894180623139251,647.2222222222224,231.95082143122198,337.4214852046194,1995,226.17180557765082,226.1718055776509,True,383.11249000112684
RGI60-09.00008,09,09-02,(Severny Island),58.5799,75.6708,2.032,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.16402722679275508,0.09013096263028364,0.0,0.0,COPDEM,elevation_band,20.0,2.804597255283034e-24,0,,,405.0434265136719,444.7521057128906,191.86647033691406,606.5022583007812,606.5022583007812,191.86647033691406,0.0,58.505700526974024,75.67582472802557,2880.0,2032000.0000000005,406.5668538839372,597.0905928798658,204.9772332775301,0.13708620537839059,705.5555555555557,161.98509270526876,289.0439615123814,1995,230.748205077484,230.748205077484,True,383.1089499036989
RGI60-09.00009,09,09-02,(Severny Island),58.6143,75.6894,1.932,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.15251730504634228,0.08408890746634735,0.0,0.0,COPDEM,elevation_band,,2.804597255283034e-24,0,,,376.073486328125,361.31268310546875,128.7749481201172,620.8973388671875,620.8973388671875,129.02452087402344,0.0,58.60977834376596,75.70555157185147,3016.0,1932000.0,381.19552022502893,599.9747878137364,144.96408651204263,0.1525432158165107,640.5835543766581,166.51956655639228,268.48345679230323,1995,222.7100115263712,222.71001152637123,True,383.1044738960476
RGI60-09.00010,09,09-02,(Severny Island),59.5643,75.7897,0.434,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.02239092922935381,0.01079014535451206,0.0,0.0,COPDEM,elevation_band,180.0,2.804597255283034e-24,0,,,360.5372314453125,367.00970458984375,292.9371337890625,426.85174560546875,426.85174560546875,292.9747619628906,0.0,59.57889660087596,75.79217251415216,1140.0,434000.0,357.2607419892171,418.4895434334149,298.9468941199632,0.10700261761752795,380.70175438596493,57.50241565540258,200.34072154228207,1995,89.37997272169282,89.37997272169282,True,382.9015440050692
