rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,rgi_year,glacier_type,terminus_type,is_tidewater,status,inv_volume_km3,vas_volume_km3,inv_volume_bsl_km3,inv_volume_bwl_km3,dem_source,flowline_type,inversion_glen_a,inversion_fs,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,terminus_lon,terminus_lat,main_flowline_length,inv_flowline_glacier_area,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_slope,flowline_avg_width,flowline_last_width,flowline_last_5_widths,t_star,mu_star_glacierwide,mu_star_flowline_avg,mu_star_allsame,mb_bias,ref_hgt_qc_diff
RGI60-11.00001,11,11-01,,13.5987,47.4949,0.122,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.002448993333961979,0.0018846195165162795,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2270.603271484375,2275.0,2190.0,2390.0,2390.0,2190.0,0.0,13.596273474046912,47.49636866181611,420.0,122000.0,2277.440768158233,2405.660669059775,2208.879089937528,0.45622434326840133,290.4761904761904,170.46127553484087,248.09335111415413,1995.0,49.62547774710508,49.625477747105116,True,561.0134646407215,
RGI60-11.00002,11,11-01,,13.6135,47.4845,2.292,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.09823450086785286,0.10635894243198991,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2529.05029296875,2531.0,2209.0,2854.0,2853.0,2209.0,0.0008435259384226065,13.620971673601707,47.48855661466184,1922.0,2291999.9999999995,2530.704851584429,2822.776888373806,2227.523473401975,0.30518635461731675,1192.5078043704473,130.01465778058753,294.21240738617405,1995.0,77.35003457777067,77.35003457777067,True,561.0323827155983,
RGI60-11.00003,11,11-01,,13.596,47.4835,0.851,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.033306520828718184,0.027235293648494457,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2469.037109375,2463.0,2274.0,2686.0,2686.0,2274.0,0.0,13.591697195421633,47.488155489757936,1380.0,850999.9999999998,2470.273859370484,2675.673482798136,2298.4411102130184,0.2749142983403428,616.6666666666666,222.88321455120752,349.40755049314646,1995.0,68.78706953363672,68.7870695336367,True,561.0208854265392,
RGI60-11.00004,11,11-01,,13.5829,47.4807,0.053,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.0009634876226554256,0.0005989054122008733,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2409.22509765625,2412.0,2298.0,2486.0,2486.0,2298.0,0.0,13.580698496169216,47.481882616200494,390.0,53000.00000000002,2407.9471484772525,2468.12701354051,2309.7016679484186,0.4080691206714434,135.8974358974359,6.365561850645096,53.83044160233076,1995.0,61.36041793169375,61.36041793169374,True,560.9981378143319,
RGI60-11.00005,11,11-01,,13.6026,47.4774,0.057,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.001108943612527785,0.0006619220423952159,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2689.48828125,2687.0,2641.0,2758.0,2758.0,2641.0,0.0,13.601971295764352,47.47967723206533,208.0,57000.0,2694.352330919111,2725.114738353356,2668.660311689272,0.30643042614694505,274.0384615384615,132.51687926989075,292.3940734403724,1995.0,110.52474333508121,110.5247433350812,True,561.0242827247585,
RGI60-11.00006,11,11-01,,13.6304,47.4708,0.908,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.037104377669921335,0.029774670135057354,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2598.193115234375,2603.0,2457.0,2703.0,2703.0,2457.0,0.0,13.643139541768535,47.47023425723991,874.0,908000.0000000001,2599.913021499473,2671.8929144239605,2491.902354634431,0.2151697758404845,1038.9016018306636,356.6417092441547,663.2108953988311,1995.0,85.77761533444007,85.77761533444007,True,561.0083611005625,
RGI60-11.00007,11,11-01,,13.6143,47.4735,0.014,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.0002631890517000371,9.602956600001788e-05,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2720.514892578125,2721.0,2696.0,2731.0,2731.0,2696.0,0.0,13.613021652005795,47.47342613765984,120.0,13999.999999999996,2699.4298357171833,2707.6326830211633,2692.13834151692,0.16001942400571892,116.66666666666666,130.39097095385998,116.66666666666666,1995.0,111.86034783312894,111.86034783312893,True,561.0232045809918,
RGI60-11.00008,11,11-01,,13.0368,47.4288,0.169,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.003858613960426032,0.002950007607125309,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2664.31005859375,2662.0,2570.0,2755.0,2755.0,2570.0,0.0,13.034984324597179,47.43118432096796,448.0,169000.0,2663.074302998595,2737.653809956153,2588.2837605916548,0.3387609801829915,377.23214285714283,67.00985980123397,318.4452638212369,1995.0,106.33674830140346,106.33674830140352,True,559.9605512832209,
RGI60-11.00009,11,11-01,,13.0484,47.4247,0.327,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.012690234792568733,0.007311089104731913,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2765.435546875,2771.0,2669.0,2824.0,2824.0,2669.0,0.0,13.053001416562173,47.42780514370635,576.0,327000.0,2759.3699147712814,2802.0159142920775,2695.913340675492,0.19081151355439172,567.7083333333333,241.72685952070026,437.8190702864019,1995.0,135.04493539862042,135.04493539862048,True,560.7247549045685,
RGI60-11.00010,11,11-01,,13.0783,47.4248,0.036,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.0009141744356659587,0.0003518802206254995,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2675.8310546875,2676.0,2644.0,2698.0,2698.0,2644.0,0.0,13.079185931487169,47.42607558324007,156.0,36000.00000000001,2673.7619586093565,2680.5704854224405,2664.428206691468,0.12353903444524651,230.7692307692308,153.41102688735106,215.29758999285485,1995.0,109.20119071149874,109.2011907114987,True,561.4049667295665,
RGI60-11.00011,11,11-01,,13.0419,47.4254,0.037,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.0011816382699230445,0.0003653896889008746,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2778.918212890625,2783.0,2692.0,2855.0,2842.0,2692.0,0.05,13.042219109025222,47.427129385605376,468.0,37000.0,2769.62388829052,2823.1345823438382,2702.672898388498,0.26091224576563743,79.05982905982904,56.24696123663534,89.42710243785882,1995.0,138.69119670739218,138.69119670739224,True,560.4771994655918,
RGI60-11.00012,11,11-01,Hochkoenig,13.0581,47.4242,0.197,2003,Glacier,Land-terminating,False,Glacier or ice cap,0.007246896890634249,0.00364225189571327,0.0,0.0,NASADEM,elevation_band,3.847961638672954e-24,0.0,,,2779.89013671875,2783.0,2710.0,2834.0,2834.0,2710.0,0.0,13.061991562069124,47.426112930779354,608.0,196999.99999999997,2779.800297529543,2824.3031265094914,2723.1438042296813,0.17242255834570241,324.0131578947368,74.78351381588192,217.47925150202997,1995.0,142.484992877291,142.48499287729098,True,561.0193987146575,
